"","ID","sample","donor","timepoint","cytokine","N_mature_nucleus","N_mature_cytoplasm","N_mature_total","N_nascent_Ts_1","N_nascent_Ts_2","N_nascent_total"
"121","D1ACTD_0H__01_Cell_CP_8_IFN","ACTD","D1","0","IFN",4,3,7,0,0,0
"122","D1ACTD_0H__01_Cell_CP_8_TNF","ACTD","D1","0","TNF",2,1,3,0,0,0
"123","D1ACTD_0H__01_Cell_CP_80_IFN","ACTD","D1","0","IFN",10,9,19,0,0,0
"124","D1ACTD_0H__01_Cell_CP_80_TNF","ACTD","D1","0","TNF",8,4,12,0,0,0
"125","D1ACTD_0H__01_Cell_CP_81_IFN","ACTD","D1","0","IFN",7,1,8,0,0,0
"126","D1ACTD_0H__01_Cell_CP_81_TNF","ACTD","D1","0","TNF",1,2,3,0,0,0
"127","D1ACTD_0H__01_Cell_CP_82_IFN","ACTD","D1","0","IFN",6,7,13,0,0,0
"128","D1ACTD_0H__01_Cell_CP_82_TNF","ACTD","D1","0","TNF",6,3,9,0,0,0
"129","D1ACTD_0H__01_Cell_CP_83_IFN","ACTD","D1","0","IFN",7,20,27,0,0,0
"130","D1ACTD_0H__01_Cell_CP_83_TNF","ACTD","D1","0","TNF",10,5,15,0,0,0
"131","D1ACTD_0H__01_Cell_CP_84_IFN","ACTD","D1","0","IFN",6,11,17,0,0,0
"132","D1ACTD_0H__01_Cell_CP_84_TNF","ACTD","D1","0","TNF",2,3,5,0,0,0
"133","D1ACTD_0H__01_Cell_CP_85_IFN","ACTD","D1","0","IFN",11,4,15,0,0,0
"134","D1ACTD_0H__01_Cell_CP_85_TNF","ACTD","D1","0","TNF",4,6,10,0,0,0
"135","D1ACTD_0H__01_Cell_CP_86_IFN","ACTD","D1","0","IFN",2,6,8,0,0,0
"136","D1ACTD_0H__01_Cell_CP_86_TNF","ACTD","D1","0","TNF",4,7,11,0,0,0
"137","D1ACTD_0H__01_Cell_CP_87_IFN","ACTD","D1","0","IFN",6,8,14,0,0,0
"138","D1ACTD_0H__01_Cell_CP_87_TNF","ACTD","D1","0","TNF",1,3,4,0,0,0
"139","D1ACTD_0H__01_Cell_CP_88_IFN","ACTD","D1","0","IFN",4,3,7,0,0,0
"140","D1ACTD_0H__01_Cell_CP_88_TNF","ACTD","D1","0","TNF",3,0,3,0,0,0
"141","D1ACTD_0H__01_Cell_CP_89_IFN","ACTD","D1","0","IFN",4,3,7,0,0,0
"142","D1ACTD_0H__01_Cell_CP_89_TNF","ACTD","D1","0","TNF",3,2,5,0,0,0
"143","D1ACTD_0H__01_Cell_CP_9_IFN","ACTD","D1","0","IFN",0,2,2,0,0,0
"144","D1ACTD_0H__01_Cell_CP_9_TNF","ACTD","D1","0","TNF",0,4,4,0,0,0
"145","D1ACTD_0H__01_Cell_CP_90_IFN","ACTD","D1","0","IFN",6,0,6,0,0,0
"146","D1ACTD_0H__01_Cell_CP_90_TNF","ACTD","D1","0","TNF",5,1,6,0,0,0
"147","D1ACTD_0H__01_Cell_CP_92_IFN","ACTD","D1","0","IFN",9,3,12,0,0,0
"148","D1ACTD_0H__01_Cell_CP_92_TNF","ACTD","D1","0","TNF",2,1,3,0,0,0
"149","D1ACTD_0H__01_Cell_CP_93_IFN","ACTD","D1","0","IFN",7,3,10,0,0,0
"150","D1ACTD_0H__01_Cell_CP_93_TNF","ACTD","D1","0","TNF",2,4,6,0,0,0
"151","D1ACTD_0H__01_Cell_CP_94_IFN","ACTD","D1","0","IFN",14,5,19,0,0,0
"152","D1ACTD_0H__01_Cell_CP_94_TNF","ACTD","D1","0","TNF",3,2,5,0,0,0
"153","D1ACTD_0H__01_Cell_CP_95_IFN","ACTD","D1","0","IFN",1,9,10,0,0,0
"154","D1ACTD_0H__01_Cell_CP_95_TNF","ACTD","D1","0","TNF",0,7,7,0,0,0
