"","ID","sample","donor","timepoint","cytokine","N_mature_nucleus","N_mature_cytoplasm","N_mature_total","N_nascent_Ts_1","N_nascent_Ts_2","N_nascent_total"
"283","D1C_0H_02_Cell_CP_124_IFN","C","D1","0","IFN",0,1,1,0,0,0
"285","D1C_0H_02_Cell_CP_125_IFN","C","D1","0","IFN",0,1,1,3,0,3
"286","D1C_0H_02_Cell_CP_125_TNF","C","D1","0","TNF",4,7,11,0,0,0
"287","D1C_0H_02_Cell_CP_126_IFN","C","D1","0","IFN",2,2,4,0,0,0
"288","D1C_0H_02_Cell_CP_126_TNF","C","D1","0","TNF",0,1,1,0,0,0
"291","D1C_0H_02_Cell_CP_128_IFN","C","D1","0","IFN",0,3,3,0,0,0
"292","D1C_0H_02_Cell_CP_128_TNF","C","D1","0","TNF",1,1,2,0,0,0
"294","D1C_0H_02_Cell_CP_13_TNF","C","D1","0","TNF",1,2,3,0,0,0
"296","D1C_0H_02_Cell_CP_130_TNF","C","D1","0","TNF",1,0,1,0,0,0
"298","D1C_0H_02_Cell_CP_131_TNF","C","D1","0","TNF",1,2,3,0,0,0
"302","D1C_0H_02_Cell_CP_133_TNF","C","D1","0","TNF",1,4,5,0,0,0
"303","D1C_0H_02_Cell_CP_134_IFN","C","D1","0","IFN",1,1,2,0,0,0
"304","D1C_0H_02_Cell_CP_134_TNF","C","D1","0","TNF",1,5,6,0,0,0
"307","D1C_0H_02_Cell_CP_15_IFN","C","D1","0","IFN",0,1,1,0,0,0
"308","D1C_0H_02_Cell_CP_15_TNF","C","D1","0","TNF",0,4,4,0,0,0
"309","D1C_0H_02_Cell_CP_16_IFN","C","D1","0","IFN",1,0,1,0,0,0
"310","D1C_0H_02_Cell_CP_16_TNF","C","D1","0","TNF",7,5,12,0,0,0
"311","D1C_0H_02_Cell_CP_17_IFN","C","D1","0","IFN",1,0,1,0,0,0
"312","D1C_0H_02_Cell_CP_17_TNF","C","D1","0","TNF",1,2,3,0,0,0
"314","D1C_0H_02_Cell_CP_18_TNF","C","D1","0","TNF",0,1,1,0,0,0
"315","D1C_0H_02_Cell_CP_19_IFN","C","D1","0","IFN",3,0,3,0,0,0
"319","D1C_0H_02_Cell_CP_21_IFN","C","D1","0","IFN",0,1,1,0,0,0
"320","D1C_0H_02_Cell_CP_21_TNF","C","D1","0","TNF",5,2,7,0,0,0
"323","D1C_0H_02_Cell_CP_23_IFN","C","D1","0","IFN",2,0,2,4,0,4
"324","D1C_0H_02_Cell_CP_23_TNF","C","D1","0","TNF",7,11,18,0,0,0
"326","D1C_0H_02_Cell_CP_24_TNF","C","D1","0","TNF",1,1,2,0,0,0
"327","D1C_0H_02_Cell_CP_25_IFN","C","D1","0","IFN",1,1,2,0,0,0
