"","IFNG","TNF","Donor","timepoint","quadrant","condition"
"279","1304.34020996094","13293.64453125","D1","1h","TNF_single_producer","KO"
"280","341.590576171875","4059.5595703125","D1","1h","TNF_single_producer","KO"
"281","1043.20397949219","9387.529296875","D1","1h","TNF_single_producer","KO"
"282","1417.29699707031","1636.11206054688","D1","1h","TNF_single_producer","KO"
"283","612.409362792969","3690.48461914062","D1","1h","TNF_single_producer","KO"
"284","1119.67150878906","2195.36791992188","D1","1h","TNF_single_producer","KO"
"285","491.222717285156","920.105712890625","D1","1h","TNF_single_producer","KO"
"286","967.38525390625","1963.52941894531","D1","1h","TNF_single_producer","KO"
"287","1419.69702148438","4792.73388671875","D1","1h","TNF_single_producer","KO"
"288","1462.40307617188","4412.84765625","D1","1h","TNF_single_producer","KO"
"289","1291.87341308594","1264.53735351562","D1","1h","TNF_single_producer","KO"
"290","1185.55700683594","6841.24462890625","D1","1h","TNF_single_producer","KO"
"291","883.281005859375","11259.0849609375","D1","1h","TNF_single_producer","KO"
"292","1210.84143066406","6621.15234375","D1","1h","TNF_single_producer","KO"
"293","889.953491210938","4511.71240234375","D1","1h","TNF_single_producer","KO"
"294","1015.59967041016","1982.23547363281","D1","1h","TNF_single_producer","KO"
"295","770.862731933594","857.253540039062","D1","1h","TNF_single_producer","KO"
"296","920.559875488281","7799.99267578125","D1","1h","TNF_single_producer","KO"
"297","1579.84741210938","4976.0244140625","D1","1h","TNF_single_producer","KO"
"298","682.929870605469","1076.95178222656","D1","1h","TNF_single_producer","KO"
"299","993.39208984375","6987.84326171875","D1","1h","TNF_single_producer","KO"
"300","634.760009765625","8706.607421875","D1","1h","TNF_single_producer","KO"
"301","781.584106445312","3945.90502929688","D1","1h","TNF_single_producer","KO"
"302","419.927490234375","931.83642578125","D1","1h","TNF_single_producer","KO"
"303","912.943115234375","12059.7763671875","D1","1h","TNF_single_producer","KO"
"304","869.712768554688","1490.69006347656","D1","1h","TNF_single_producer","KO"
"305","1167.76452636719","4758.76318359375","D1","1h","TNF_single_producer","KO"
"306","627.800170898438","1383.81860351562","D1","1h","TNF_single_producer","KO"
