"","IFNG","TNF","Donor","timepoint","quadrant","NA"
"351","6188.64306640625","21089.333984375","D1","1h","double_producer","KO"
"352","2379.03588867188","6121.017578125","D1","1h","double_producer","KO"
"353","3542.2333984375","18670.427734375","D1","1h","double_producer","KO"
"354","4415.990234375","4265.8720703125","D1","1h","double_producer","KO"
"355","3036.4814453125","2837.36596679688","D1","1h","double_producer","KO"
"356","2068.64501953125","4288.708984375","D1","1h","double_producer","KO"
"357","1612.23803710938","1558.35461425781","D1","1h","double_producer","KO"
"358","2637.083984375","3863.64233398438","D1","1h","double_producer","KO"
"359","3858.7705078125","6083.41259765625","D1","1h","double_producer","KO"
"360","3245.05249023438","3538.26245117188","D1","1h","double_producer","KO"
"361","1852.18347167969","12703.13671875","D1","1h","double_producer","KO"
"362","1992.51965332031","24026.408203125","D1","1h","double_producer","KO"
"363","2959.61840820312","6543.96728515625","D1","1h","double_producer","KO"
"364","2220.958984375","3950.94555664062","D1","1h","double_producer","KO"
"365","4565.94921875","32279.8828125","D1","1h","double_producer","KO"
"366","2862.57153320312","14443.451171875","D1","1h","double_producer","KO"
"367","4542.5556640625","5825.1630859375","D1","1h","double_producer","KO"
"368","5684.20751953125","14534.158203125","D1","1h","double_producer","KO"
"369","3848.76782226562","10148.4853515625","D1","1h","double_producer","KO"
"370","2448.6611328125","1257.619140625","D1","1h","double_producer","KO"
"371","2234.02587890625","3917.95654296875","D1","1h","double_producer","KO"
"372","1655.37329101562","540.625183105469","D1","1h","double_producer","KO"
"373","1603.6943359375","722.678894042969","D1","1h","double_producer","KO"
"374","2116.14404296875","12323.83203125","D1","1h","double_producer","KO"
"375","1990.79479980469","12321.396484375","D1","1h","double_producer","KO"
"376","1787.26184082031","3459.76586914062","D1","1h","double_producer","KO"
"377","3996.5107421875","14841.3388671875","D1","1h","double_producer","KO"
"378","5846.31982421875","8107.8955078125","D1","1h","double_producer","KO"
"379","6659.10302734375","12643.5673828125","D1","1h","double_producer","KO"
"380","2272.42797851562","870.20751953125","D1","1h","double_producer","KO"
"381","5611.27197265625","10434.2255859375","D1","1h","double_producer","KO"
"382","2157.75952148438","5776.98046875","D1","1h","double_producer","KO"
"383","2664.92749023438","16358.1435546875","D1","1h","double_producer","KO"
"384","2366.35205078125","3341.0146484375","D1","1h","double_producer","KO"
"385","1756.14208984375","23726.021484375","D1","1h","double_producer","KO"
"386","2331.80737304688","6721.41259765625","D1","1h","double_producer","KO"
"387","2893.306640625","5103.88232421875","D1","1h","double_producer","KO"
"388","4294.0205078125","30591.912109375","D1","1h","double_producer","KO"
"389","2656.62158203125","3040.79541015625","D1","1h","double_producer","KO"
"390","3060.24731445312","5441.32470703125","D1","1h","double_producer","KO"
"391","1956.10241699219","15599.2861328125","D1","1h","double_producer","KO"
"392","4105.30517578125","31297.158203125","D1","1h","double_producer","KO"
"393","4479.5625","16551.79296875","D1","1h","double_producer","KO"
"394","3226.15551757812","9429.8486328125","D1","1h","double_producer","KO"
"395","2258.57543945312","29445.17578125","D1","1h","double_producer","KO"
"396","2209.16040039062","4846.35205078125","D1","1h","double_producer","KO"
"397","2702.41455078125","2547.47436523438","D1","1h","double_producer","KO"
"398","3420.15161132812","20438.8984375","D1","1h","double_producer","KO"
"399","1832.28247070312","7153.70263671875","D1","1h","double_producer","KO"
"400","1924.14367675781","4420.09814453125","D1","1h","double_producer","KO"
"401","2152.2177734375","1052.43469238281","D1","1h","double_producer","KO"
"402","2103.26953125","8129.57861328125","D1","1h","double_producer","KO"
"403","2688.64892578125","11421.630859375","D1","1h","double_producer","KO"
"404","2518.80712890625","3286.9453125","D1","1h","double_producer","KO"
"405","4136.1865234375","576.761657714844","D1","1h","double_producer","KO"
"406","3134.77856445312","16063.4345703125","D1","1h","double_producer","KO"
"407","3734.56616210938","16594.09765625","D1","1h","double_producer","KO"
"408","2309.82348632812","4553.0830078125","D1","1h","double_producer","KO"
"409","1872.32751464844","1989.18103027344","D1","1h","double_producer","KO"
"410","4336.64990234375","3859.05688476562","D1","1h","double_producer","KO"
"411","2049.32788085938","2907.18994140625","D1","1h","double_producer","KO"
"412","1777.40014648438","11529.150390625","D1","1h","double_producer","KO"
"413","5899.30908203125","1543.25158691406","D1","1h","double_producer","KO"
"414","2450.58715820312","10870.044921875","D1","1h","double_producer","KO"
"415","3518.92553710938","5797.18798828125","D1","1h","double_producer","KO"
"416","3353.79272460938","4306.0537109375","D1","1h","double_producer","KO"
