"","ID","N_nascent_Ts_1","N_nascent_Ts_2"
"154","D1_0HCD3CD28_03_Cell_CP_56_TNF",NA,NA
"155","D1_0HCD3CD28_03_Cell_CP_57_TNF",NA,NA
"156","D1_0HCD3CD28_03_Cell_CP_59_TNF",NA,NA
"157","D1_0HCD3CD28_03_Cell_CP_6_TNF",NA,NA
"158","D1_0HCD3CD28_03_Cell_CP_60_TNF",NA,NA
"159","D1_0HCD3CD28_03_Cell_CP_61_TNF",NA,NA
"160","D1_0HCD3CD28_03_Cell_CP_62_TNF",NA,NA
"161","D1_0HCD3CD28_03_Cell_CP_63_TNF",NA,NA
"162","D1_0HCD3CD28_03_Cell_CP_64_TNF",NA,NA
"163","D1_0HCD3CD28_03_Cell_CP_65_TNF",NA,NA
"164","D1_0HCD3CD28_03_Cell_CP_66_TNF",NA,NA
"165","D1_0HCD3CD28_03_Cell_CP_67_TNF",NA,NA
"166","D1_0HCD3CD28_03_Cell_CP_69_TNF",NA,NA
"167","D1_0HCD3CD28_03_Cell_CP_7_TNF",NA,NA
"168","D1_0HCD3CD28_03_Cell_CP_71_TNF",NA,NA
"169","D1_0HCD3CD28_03_Cell_CP_72_TNF",NA,NA
"170","D1_0HCD3CD28_03_Cell_CP_73_TNF",NA,NA
"171","D1_0HCD3CD28_03_Cell_CP_76_TNF",NA,NA
"172","D1_0HCD3CD28_03_Cell_CP_77_TNF",NA,NA
"173","D1_0HCD3CD28_03_Cell_CP_79_TNF",NA,NA
"174","D1_0HCD3CD28_03_Cell_CP_8_TNF",NA,NA
"175","D1_0HCD3CD28_03_Cell_CP_80_TNF",NA,NA
"176","D1_0HCD3CD28_03_Cell_CP_81_TNF",NA,NA
"177","D1_0HCD3CD28_03_Cell_CP_82_TNF",NA,NA
"178","D1_0HCD3CD28_03_Cell_CP_83_TNF",NA,NA
"179","D1_0HCD3CD28_04_Cell_CP_10_TNF",NA,NA
"180","D1_0HCD3CD28_04_Cell_CP_11_TNF",NA,NA
"181","D1_0HCD3CD28_04_Cell_CP_13_TNF",NA,NA
"182","D1_0HCD3CD28_04_Cell_CP_16_TNF",NA,NA
"183","D1_0HCD3CD28_04_Cell_CP_17_TNF",NA,NA
"184","D1_0HCD3CD28_04_Cell_CP_18_TNF",NA,NA
"185","D1_0HCD3CD28_04_Cell_CP_19_TNF",NA,NA
"186","D1_0HCD3CD28_04_Cell_CP_22_TNF",NA,NA
"187","D1_0HCD3CD28_04_Cell_CP_23_TNF",4,NA
"188","D1_0HCD3CD28_04_Cell_CP_27_TNF",NA,NA
"189","D1_0HCD3CD28_04_Cell_CP_29_TNF",NA,NA
"190","D1_0HCD3CD28_04_Cell_CP_30_TNF",NA,NA
"191","D1_0HCD3CD28_04_Cell_CP_31_TNF",NA,NA
"192","D1_0HCD3CD28_04_Cell_CP_32_TNF",NA,NA
"193","D1_0HCD3CD28_04_Cell_CP_33_TNF",NA,NA
"194","D1_0HCD3CD28_04_Cell_CP_35_TNF",NA,NA
"195","D1_0HCD3CD28_04_Cell_CP_36_TNF",NA,NA
"196","D1_0HCD3CD28_04_Cell_CP_37_TNF",NA,NA
"197","D1_0HCD3CD28_04_Cell_CP_38_TNF",NA,NA
"198","D1_0HCD3CD28_04_Cell_CP_39_TNF",NA,NA
"199","D1_0HCD3CD28_04_Cell_CP_40_TNF",NA,NA
"200","D1_0HCD3CD28_04_Cell_CP_42_TNF",NA,NA
"201","D1_0HCD3CD28_04_Cell_CP_43_TNF",NA,NA
"202","D1_0HCD3CD28_04_Cell_CP_44_TNF",NA,NA
"203","D1_0HCD3CD28_04_Cell_CP_46_TNF",NA,NA
"204","D1_0HCD3CD28_04_Cell_CP_5_TNF",NA,NA
"205","D1_0HCD3CD28_04_Cell_CP_50_TNF",NA,NA
"206","D1_0HCD3CD28_04_Cell_CP_51_TNF",NA,NA
"207","D1_0HCD3CD28_04_Cell_CP_54_TNF",NA,NA
"208","D1_0HCD3CD28_04_Cell_CP_56_TNF",NA,NA
"209","D1_0HCD3CD28_04_Cell_CP_58_TNF",NA,NA
"210","D1_0HCD3CD28_04_Cell_CP_6_TNF",NA,NA
"211","D1_0HCD3CD28_04_Cell_CP_60_TNF",NA,NA
"212","D1_0HCD3CD28_04_Cell_CP_61_TNF",NA,NA
"213","D1_0HCD3CD28_04_Cell_CP_64_TNF",NA,NA
"214","D1_0HCD3CD28_04_Cell_CP_66_TNF",NA,NA
"215","D1_0HCD3CD28_04_Cell_CP_7_TNF",NA,NA
"216","D1_0HCD3CD28_04_Cell_CP_70_TNF",NA,NA
"217","D1_0HCD3CD28_04_Cell_CP_71_TNF",NA,NA
"218","D1_0HCD3CD28_04_Cell_CP_72_TNF",NA,NA
"219","D1_0HCD3CD28_04_Cell_CP_73_TNF",NA,NA
"220","D1_0HCD3CD28_04_Cell_CP_74_TNF",NA,NA
"221","D1_0HCD3CD28_04_Cell_CP_76_TNF",NA,NA
"222","D1_0HCD3CD28_04_Cell_CP_77_TNF",NA,NA
"223","D1_0HCD3CD28_04_Cell_CP_78_TNF",NA,NA
"224","D1_0HCD3CD28_04_Cell_CP_79_TNF",NA,NA
"225","D1_0HCD3CD28_04_Cell_CP_8_TNF",NA,NA
"226","D1_0HCD3CD28_04_Cell_CP_80_TNF",NA,NA
"227","D1_0HCD3CD28_04_Cell_CP_81_TNF",NA,NA
"228","D1_0HCD3CD28_04_Cell_CP_84_TNF",NA,NA
"229","D1_0HCD3CD28_05_Cell_CP_10_TNF",NA,NA
"230","D1_0HCD3CD28_05_Cell_CP_13_TNF",NA,NA
"231","D1_0HCD3CD28_05_Cell_CP_14_TNF",NA,NA
